review_id,START_ID,END_ID
1,0,10720371
1,1,10752695
1,2,10740774
4,3,10750053
4,4,10752430
4,5,10749819
5,6,10738352
5,7,10738991
5,8,10743125
6,9,10738791
6,10,10750658
6,11,10740393
7,12,10720496
7,13,10744548
7,14,10753082
8,15,10738726
8,16,10746710
8,17,10751681
9,18,10740153
9,19,10752780
9,20,10744706
10,21,10744840
10,22,10749590
10,23,10752958
11,24,10739817
11,25,10752456
11,26,10741201
12,27,10742890
12,28,10738852
12,29,10746594
13,30,10747518
13,31,10740642
13,32,10745212
14,33,10750401
14,34,10750647
14,35,10745689
15,36,10748031
15,37,10749727
15,38,10750969
16,39,10748796
16,40,10739764
16,41,10738889
17,42,10748031
17,43,10748058
17,44,10742985
18,45,10751647
18,46,10744942
18,47,10744871
19,48,10742225
19,49,10741931
19,50,10751804
20,51,10738031
20,52,10750044
20,53,10746656
21,54,10737564
21,55,10740055
21,56,10744018
22,57,10740985
22,58,10750203
22,59,10746887
23,60,10740812
23,61,10751572
23,62,10729256
24,63,10752688
24,64,10743097
24,65,10745081
25,66,10720353
25,67,10743551
25,68,10753321
26,69,10749231
26,70,10750930
26,71,10752307
27,72,10741175
27,73,10720536
27,74,10751083
28,75,10749484
28,76,10741452
28,77,10751942
29,78,10743830
29,79,10745292
29,80,10740115
30,81,10737303
30,82,10741779
30,83,10752700
31,84,10741793
31,85,10749717
31,86,10750834
32,87,10737995
32,88,10747373
32,89,10740956
33,90,10741971
33,91,10740838
33,92,10725590
34,93,10746343
34,94,10720566
34,95,10720529
35,96,10749296
35,97,10750876
35,98,10737843
36,99,10753397
36,100,10751623
36,101,10752539
37,102,10738095
37,103,10750059
37,104,10740267
38,105,10750549
38,106,10739457
38,107,10744747
39,108,10744307
39,109,10744861
39,110,10744563
40,111,10750395
40,112,10738121
40,113,10753125
41,114,10745229
41,115,10734578
41,116,10741933
42,117,10730781
42,118,10744631
42,119,10739649
43,120,10744122
43,121,10737758
43,122,10751375
44,123,10748131
44,124,10746316
44,125,10737837
45,126,10740074
45,127,10740832
45,128,10749176
46,129,10738684
46,130,10744408
46,131,10749583
47,132,10748754
47,133,10752118
47,134,10738752
48,135,10747757
48,136,10750236
48,137,10744608
49,138,10749183
49,139,10742807
49,140,10739995
50,141,10743265
50,142,10743736
50,143,10737464
51,144,10745044
51,145,10745039
51,146,10746040
52,147,10752144
52,148,10743351
52,149,10738865
53,150,10740813
53,151,10741970
53,152,10745828
